date,open,high,low,close
1617922680000,57854.95,57888.85,57850.44,57884.45
1617922740000,57884.46,57916.31,57883.2,57916.29
1617922800000,57916.3,57940.0,57894.99,57940.0
1617922860000,57939.99,57941.89,57912.03,57932.71
1617922920000,57932.71,57938.97,57913.8,57921.12
1617922980000,57921.12,57954.54,57920.0,57954.54
1617923040000,57955.3,57977.09,57937.7,57959.06
1617923100000,57959.06,57987.41,57942.0,57976.14
1617923160000,57976.14,57992.71,57972.96,57992.69
1617923220000,57992.7,58029.02,57989.99,58016.32
1617923280000,58016.31,58020.52,57991.42,58019.67
1617923340000,58019.67,58057.34,58017.9,58057.34
1617923400000,58057.34,58058.77,58007.67,58048.11
1617923460000,58048.11,58050.0,57999.81,58001.31
1617923520000,58001.32,58025.29,57947.78,57961.2
1617923580000,57961.2,57968.94,57922.07,57922.08
1617923640000,57922.08,57958.4,57922.07,57947.23
1617923700000,57947.23,57998.77,57947.22,57982.4
1617923760000,57982.4,57982.4,57921.85,57929.4
1617923820000,57929.4,57929.49,57859.87,57881.63
1617923880000,57881.62,57894.25,57877.28,57886.29
1617923940000,57886.29,57900.01,57877.0,57877.01
1617924000000,57877.01,57891.39,57864.17,57883.19
1617924060000,57883.2,57889.22,57866.85,57882.45
1617924120000,57882.45,57882.45,57843.25,57850.25
1617924180000,57850.26,57907.05,57850.0,57888.51
1617924240000,57888.51,57901.78,57845.21,57876.0
1617924300000,57875.99,57876.0,57851.0,57863.42
1617924360000,57860.16,57871.97,57858.0,57863.2
1617924420000,57863.2,57863.21,57846.38,57846.38
1617924480000,57846.39,57872.53,57846.38,57854.64
1617924540000,57854.64,57879.6,57843.22,57879.6
1617924600000,57879.6,57879.6,57830.44,57834.23
1617924660000,57834.22,57834.23,57829.24,57829.24
1617924720000,57829.25,57847.47,57829.24,57838.95
1617924780000,57838.95,57862.92,57833.97,57849.88
1617924840000,57849.89,57849.89,57833.28,57833.29
1617924900000,57833.29,57886.79,57729.63,57886.79
1617924960000,57886.79,57951.36,57886.78,57927.47
1617925020000,57927.47,57968.56,57904.67,57909.93
1617925080000,57909.93,57945.6,57909.93,57927.52
1617925140000,57927.52,57961.0,57927.51,57960.68
1617925200000,57960.68,57984.15,57955.96,57969.95
1617925260000,57969.95,57988.0,57953.74,57987.99
1617925320000,57988.0,58050.5,57987.99,58050.49
1617925380000,58050.49,58050.5,58015.41,58031.03
1617925440000,58031.04,58050.0,57987.33,58036.67
1617925500000,58033.86,58045.33,58000.17,58005.02
1617925560000,58005.02,58008.06,57980.96,57985.88
1617925620000,57985.89,57989.28,57982.56,57987.54
1617925680000,57987.54,57989.2,57959.52,57959.54
1617925740000,57959.54,57989.94,57959.52,57978.56
1617925800000,57978.56,58000.27,57963.37,57976.43
1617925860000,57976.43,57989.18,57943.49,57951.75
1617925920000,57951.76,57978.49,57941.78,57976.0
1617925980000,57975.99,57988.44,57968.98,57979.79
1617926040000,57979.79,58045.0,57979.78,58037.29
1617926100000,58037.29,58047.48,58011.96,58012.71
1617926160000,58012.71,58020.0,57977.11,57990.89
1617926220000,57990.89,57993.63,57979.66,57991.05
1617926280000,57991.05,58099.27,57991.05,58096.68
1617926340000,58096.68,58099.26,58060.34,58077.52
1617926400000,58077.52,58136.49,58045.0,58116.79
1617926460000,58116.78,58143.14,58101.82,58143.13
1617926520000,58143.14,58249.0,58128.84,58223.09
1617926580000,58223.08,58223.09,58106.98,58125.71
1617926640000,58125.7,58164.87,58078.32,58080.59
1617926700000,58080.59,58123.46,58032.01,58100.8
1617926760000,58100.8,58154.68,58100.0,58140.84
1617926820000,58140.84,58154.69,58089.87,58132.32
1617926880000,58132.31,58148.84,58124.0,58143.75
1617926940000,58143.74,58195.0,58143.74,58191.7
1617927000000,58191.7,58191.71,58153.47,58177.2
1617927060000,58172.97,58225.38,58165.14,58217.93
1617927120000,58217.92,58238.57,58200.18,58213.39
1617927180000,58213.39,58245.17,58169.48,58227.37
1617927240000,58227.37,58248.0,58222.55,58230.98
1617927300000,58230.99,58240.66,58174.81,58189.67
1617927360000,58189.67,58200.67,58184.27,58189.99
1617927420000,58189.99,58190.0,58125.96,58127.31
1617927480000,58127.31,58140.1,58081.59,58127.48
1617927540000,58127.48,58168.25,58127.48,58158.5
1617927600000,58158.5,58158.51,58104.76,58104.77
1617927660000,58104.77,58150.02,58091.14,58138.47
1617927720000,58138.47,58148.54,58124.26,58124.27
1617927780000,58124.26,58124.27,58099.27,58099.27
1617927840000,58099.27,58127.26,58091.71,58101.81
1617927900000,58101.81,58219.81,58099.26,58182.59
1617927960000,58191.77,58240.0,58174.39,58239.99
1617928020000,58239.99,58240.0,58175.02,58190.29
1617928080000,58190.29,58190.29,58160.18,58176.51
1617928140000,58176.51,58192.62,58167.46,58192.6
1617928200000,58192.6,58192.61,58171.01,58172.25
1617928260000,58172.25,58239.99,58162.95,58232.94
1617928320000,58232.94,58345.56,58228.99,58338.78
1617928380000,58338.77,58368.0,58310.84,58366.58
1617928440000,58366.57,58389.0,58332.92,58332.92
1617928500000,58332.92,58373.77,58311.3,58358.81
1617928560000,58358.81,58358.81,58275.05,58278.23
1617928620000,58278.23,58313.54,58267.1,58313.54
1617928680000,58313.54,58353.5,58308.72,58332.86
1617928740000,58332.85,58380.0,58331.45,58352.6
1617928800000,58352.6,58355.07,58280.0,58280.01
1617928860000,58280.01,58298.01,58267.23,58271.66
1617928920000,58271.66,58281.41,58250.0,58259.85
1617928980000,58258.27,58294.65,58242.1,58294.65
1617929040000,58294.65,58300.0,58271.0,58278.32
1617929100000,58278.31,58278.55,58231.17,58245.84
1617929160000,58245.84,58250.0,58209.27,58247.23
1617929220000,58247.23,58275.92,58247.22,58268.27
1617929280000,58268.28,58300.0,58262.3,58292.72
1617929340000,58291.09,58291.09,58255.23,58260.0
1617929400000,58260.0,58270.46,58247.23,58251.18
1617929460000,58251.17,58272.47,58240.0,58268.42
1617929520000,58268.42,58299.97,58257.18,58296.45
1617929580000,58296.45,58296.45,58251.44,58266.64
1617929640000,58266.64,58285.7,58265.06,58282.36
1617929700000,58282.36,58282.37,58265.2,58275.92
1617929760000,58275.92,58318.0,58274.98,58303.37
1617929820000,58303.38,58319.35,58282.02,58289.81
1617929880000,58289.8,58322.66,58284.15,58307.13
1617929940000,58307.94,58307.95,58289.81,58301.72
1617930000000,58301.72,58375.83,58300.0,58346.93
1617930060000,58346.92,58361.9,58329.3,58339.17
1617930120000,58339.35,58400.0,58339.16,58399.99
